"corpus","user/isabelle.gribomont/react2"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"fundamental",6978,2376666,231.97182,121.30124,1.500
"solución",8848,3195573,294.13681,163.09695,1.498
"delincuencia",1935,189898,64.32581,9.69209,1.498
"pdpr-epr",1492,105,49.59902,0.00536,1.496
"marxista",1813,142000,60.27012,7.24745,1.494
"fascismo",1700,95871,56.51363,4.89310,1.492
"huelga",2626,501069,87.29693,25.57376,1.492
"pensamiento",4883,1486751,162.32707,75.88140,1.491
"rebeldía",1678,87205,55.78228,4.45080,1.491
"táctico",1838,157521,61.10120,8.03962,1.491
"aniquilar",1632,68786,54.25308,3.51073,1.490
"surgir",5821,1902808,193.50932,97.11629,1.489
"genocidio",1733,115585,57.61066,5.89927,1.488
"destrucción",2470,439231,82.11098,22.41765,1.488
"ejercitar",2132,291815,70.87474,14.89377,1.487
"hablar",20694,8431996,687.93707,430.35562,1.486
"terrateniente",1558,55551,51.79308,2.83523,1.476
"militarización",1481,26907,49.23334,1.37329,1.472
"helicóptero",1856,193570,61.69958,9.87950,1.472
"inteligencia",3420,886531,113.69212,45.24713,1.471
"expresar",7899,2873123,262.58890,146.63960,1.470
"importar",5347,1743197,177.75197,88.96999,1.470
"privilegio",2241,367844,74.49825,18.77417,1.469
"sureste",1723,138754,57.27822,7.08178,1.469
"minar",1622,94667,53.92065,4.83165,1.468
"amenaza",3626,986063,120.54024,50.32708,1.467
"abajo",3776,1056429,125.52674,53.91845,1.465
"c",5904,2005303,196.26851,102.34747,1.464
"siquiera",4123,1214160,137.06216,61.96879,1.464
"derrota",2824,636357,93.87911,32.47865,1.463
"hermano",8060,2979767,267.94110,152.08255,1.460
"engañar",2365,439373,78.62043,22.42490,1.459
"levantar",5413,1805393,179.94604,92.14437,1.457
"agrícola",2984,719626,99.19804,36.72856,1.457
"mao",1462,40847,48.60172,2.08477,1.456
"somoza",1421,23725,47.23874,1.21089,1.455
"corrupción",3259,848054,108.33995,43.28332,1.454
"pri",2229,386776,74.09933,19.74043,1.454
"estatal",5122,1683315,170.27223,85.91371,1.454
"petróleo",2689,593814,89.39126,30.30732,1.453
"negar",5020,1638559,166.88142,83.62943,1.453
"juventud",3103,780440,103.15399,39.83241,1.453
"creciente",2722,616620,90.48829,31.47130,1.449
"camilo",1798,202339,59.77147,10.32706,1.448
"apoyo",9006,3445423,299.38925,175.84889,1.448
"exigencia",2813,660064,93.51343,33.68861,1.447
"fenómeno",3884,1145150,129.11702,58.44663,1.446
"desarrollo",18325,7654620,609.18365,390.67960,1.445
"opresor",1418,36294,47.13902,1.85239,1.445
"oriente",2551,549085,84.80369,28.02442,1.444
"policía",7451,2761648,247.69589,140.95010,1.443
"sexto",2643,593561,87.86207,30.29441,1.442
"campesinado",1396,30609,46.40766,1.56223,1.442
"constituir",7156,2640330,237.88911,134.75824,1.439
"sector",14757,6085824,490.57153,310.61075,1.438
"rico",5878,2066246,195.40419,105.45790,1.438
"humano",15304,6337208,508.75562,323.44098,1.438
"comunismo",1577,124843,52.42470,6.37179,1.433
"pueblos",1588,130986,52.79038,6.68532,1.432
"avión",3214,873708,106.84400,44.59266,1.431
"organizativo",1698,184941,56.44714,9.43909,1.430
"bolivariano",1724,197419,57.31147,10.07595,1.429
"urss",1522,106428,50.59632,5.43192,1.428
"ninguno",15426,6447401,512.81128,329.06503,1.428
"martí",1647,166629,54.75174,8.50448,1.426
"tiranía",1423,64695,47.30523,3.30193,1.426
"bloqueo",2087,369334,69.37879,18.85022,1.425
"internacionalista",1350,33991,44.87847,1.73485,1.424
"marx",1675,184865,55.68255,9.43521,1.423
"falso",3465,1008190,115.18807,51.45641,1.421
"político-militar",1279,6827,42.51820,0.34844,1.420
"aspiración",1881,284355,62.53067,14.51303,1.419
"pdpr",1256,48,41.75360,0.00245,1.418
"pretexto",1550,135825,51.52713,6.93229,1.417
"burocrático",1484,111421,49.33307,5.68675,1.413
"do",2106,398337,70.01041,20.33049,1.413
"estudiantil",1880,294685,62.49743,15.04025,1.413
"saqueo",1450,97275,48.20280,4.96476,1.412
"reagan",1327,40696,44.11388,2.07706,1.412
"yanki",1244,5864,41.35468,0.29929,1.409
"imposición",1785,256534,59.33931,13.09309,1.409
"proceso",20541,8928809,682.85083,455.71219,1.409
"desempleo",1989,352666,66.12094,17.99951,1.408
"aparato",2862,756963,95.14236,38.63419,1.408
"forjar",1615,180838,53.68795,9.22968,1.407
"masivo",2711,688284,90.12262,35.12892,1.407
"torturar",1537,147234,51.09497,7.51459,1.405
"violación",2622,650754,87.16396,33.21345,1.405
"guerrero",2414,555058,80.24936,28.32928,1.405
"gobernar",2672,675168,88.82613,34.45950,1.404
"militancia",1510,137558,50.19740,7.02074,1.403
"patriótico",1420,95797,47.20550,4.88933,1.403
"genocida",1319,49099,43.84793,2.50593,1.403
"contingente",1463,118519,48.63496,6.04902,1.402
"pacífico",2453,579241,81.54584,29.56354,1.401
"cia",1510,140928,50.19740,7.19274,1.401
"mediático",1904,326087,63.29526,16.64296,1.400
"defensor",2654,675198,88.22775,34.46103,1.400
"asumir",5096,1813771,169.40791,92.57198,1.399
"desatar",1767,265698,58.74093,13.56080,1.398
"viejo",5159,1848260,171.50224,94.33224,1.397
"cuartel",1619,198504,53.82092,10.13133,1.397
"medida",12952,5486100,430.56738,280.00177,1.396
"agricultura",2886,791397,95.94020,40.39164,1.396
"federal",6067,2281006,201.68716,116.41890,1.394
"reconciliación",1445,124505,48.03658,6.35454,1.392
"amenazar",2653,692803,88.19450,35.35956,1.390
"hermanos",1445,127629,48.03658,6.51398,1.390
"sencillamente",1643,221272,54.61876,11.29337,1.389
"municipio",7867,3140401,261.52512,160.28105,1.389
"golpear",2521,634065,83.80638,32.36166,1.389
"po",1339,81149,44.51279,4.14172,1.388
"alianza",3216,964686,106.91048,49.23603,1.386
"mandar",4055,1361587,134.80162,69.49323,1.385
"consecuente",1474,148269,49.00064,7.56741,1.385
"participación",7337,2906735,243.90617,148.35512,1.385
"revisionismo",1183,12083,39.32684,0.61670,1.385
"producir",13430,5774632,446.45764,294.72800,1.384
"profundizar",2146,465738,71.34014,23.77052,1.384
"accionar",1874,338391,62.29796,17.27094,1.384
"ó",2286,535301,75.99421,27.32091,1.382
"cuadro",3923,1308572,130.41351,66.78743,1.381
"patriota",1327,85321,44.11388,4.35465,1.381
"ocultar",2367,576766,78.68692,29.43722,1.380
"decisivo",1842,330846,61.23418,16.88585,1.379
"enarbolar",1209,36753,40.19116,1.87581,1.376
"seno",1944,386908,64.62499,19.74717,1.375
"cauca",1434,145726,47.67091,7.43762,1.374
"expresión",4561,1628836,151.62274,83.13319,1.374
"precisamente",4120,1425788,136.96243,72.76994,1.372
"bastar",2874,834310,95.54127,42.58185,1.371
"garantizar",5981,2314994,198.82825,118.15359,1.370
"sí",16527,7338236,549.41217,374.53186,1.369
"monopolista",1124,11191,37.36548,0.57117,1.366
"intelectual",3037,924764,100.95993,47.19848,1.365
"cosa",20982,9495989,697.51111,484.66013,1.364
"oponer",3009,915348,100.02912,46.71790,1.363
"planteamiento",1921,395834,63.86040,20.20274,1.363
"persecución",1767,322448,58.74093,16.45723,1.363
"bloque",2873,851179,95.50803,43.44282,1.363
"destacamento",1200,51871,39.89197,2.64741,1.363
"partidario",1748,313919,58.10931,16.02192,1.363
"arauca",1147,26919,38.13008,1.37390,1.363
"ra",1213,58986,40.32413,3.01055,1.362
"alcanzar",8777,3676578,291.77652,187.64667,1.362
"desenvolver",1363,131587,45.31063,6.71599,1.362
"respetar",3674,1238457,122.13592,63.20887,1.361
"obedecer",1778,332213,59.10661,16.95562,1.360
"perseguir",2582,717437,85.83423,36.61684,1.360
"asesino",1924,404384,63.96013,20.63911,1.359
"mundial",8446,3535654,280.77301,180.45415,1.358
"hegemonía",1295,106991,43.05009,5.46065,1.356
"legítimo",1877,386968,62.39769,19.75023,1.356
"revisionista",1100,14564,36.56764,0.74332,1.356
"to",2155,521832,71.63934,26.63347,1.355
"aplastar",1359,139644,45.17766,7.12721,1.355
"industria",5947,2348002,197.69797,119.83828,1.354
"reformista",1216,72535,40.42387,3.70207,1.354
"selva",1619,267123,53.82092,13.63353,1.354
